X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
341;267;0.2950343;0.4506985;0.3642695;0.5391549;467.4;0.2024175;False;14/04/2026 3:34:04 PM:481;1776144844481;;
346;270;0.2997361;0.4560154;0.3667463;0.5499418;468.7;0.202566;False;14/04/2026 3:34:04 PM:504;1776144844504;;
407;270;0.3521819;0.4560663;0.5751066;0.4627623;472.1;0.2171251;False;14/04/2026 3:34:04 PM:525;1776144844525;;
450;270;0.3901275;0.4561097;0.5752488;0.462698;475.1;0.2173784;False;14/04/2026 3:34:04 PM:547;1776144844547;;
473;270;0.4098246;0.4560747;0.5372431;0.4435987;476.8;0.2116148;False;14/04/2026 3:34:04 PM:568;1776144844568;;
488;271;0.4226052;0.4562596;0.5274897;0.4734718;478.5;0.2117631;False;14/04/2026 3:34:04 PM:589;1776144844589;;
501;271;0.4334132;0.4563645;0.5336334;0.4700292;479.9;0.2117964;False;14/04/2026 3:34:04 PM:608;1776144844608;;
511;271;0.442179;0.4564572;0.5336351;0.4700276;481.2;0.2118003;False;14/04/2026 3:34:04 PM:629;1776144844629;;
560;271;0.4850028;0.4578925;0.6779714;0.5127733;482.5;0.2113061;False;14/04/2026 3:34:04 PM:651;1776144844651;;
594;272;0.5140769;0.4590165;0.6779748;0.512765;483.7;0.2113215;False;14/04/2026 3:34:04 PM:671;1776144844671;;
620;273;0.5369861;0.4600267;0.6779813;0.5127477;484.7;0.2113535;False;14/04/2026 3:34:04 PM:691;1776144844691;;
641;273;0.554727;0.4609078;0.6779763;0.5127609;485.7;0.2113289;False;14/04/2026 3:34:04 PM:712;1776144844712;;
668;274;0.5778841;0.461372;0.6862866;0.4967324;486.9;0.227014;False;14/04/2026 3:34:04 PM:747;1776144844747;;
680;274;0.5890905;0.4614061;0.6741976;0.4776653;488.0;0.2269338;False;14/04/2026 3:34:04 PM:775;1776144844775;;
694;271;0.6011536;0.457254;0.7014266;0.3748782;486.9;0.2240068;False;14/04/2026 3:34:04 PM:798;1776144844798;;
713;271;0.6173502;0.4567003;0.7334172;0.4281227;485.8;0.2240441;False;14/04/2026 3:34:04 PM:822;1776144844822;;
724;271;0.6271369;0.4569634;0.7264906;0.484335;489.9;0.2235705;False;14/04/2026 3:34:04 PM:842;1776144844842;;
734;271;0.6351011;0.4571276;0.7292504;0.4812217;493.5;0.2240858;False;14/04/2026 3:34:04 PM:862;1776144844862;;
741;271;0.6418443;0.4575664;0.7242508;0.4930417;496.8;0.2239499;False;14/04/2026 3:34:04 PM:884;1776144844884;;
749;271;0.6481949;0.4575593;0.7317001;0.4563855;496.9;0.2353861;False;14/04/2026 3:34:04 PM:905;1776144844905;;
756;271;0.6544104;0.4577145;0.7409361;0.4824686;496.9;0.2360055;False;14/04/2026 3:34:04 PM:926;1776144844926;;
762;271;0.659768;0.4578573;0.7409074;0.4825063;497.0;0.2357667;False;14/04/2026 3:34:04 PM:947;1776144844947;;
767;272;0.6638998;0.4579735;0.7408921;0.4825266;497.0;0.2356398;False;14/04/2026 3:34:04 PM:967;1776144844967;;
774;272;0.6696896;0.4579962;0.7568241;0.4671682;497.3;0.2358287;False;14/04/2026 3:34:04 PM:987;1776144844987;;
779;272;0.6741213;0.4580146;0.7568296;0.4671631;497.6;0.2358789;False;14/04/2026 3:34:05 PM:7;1776144845007;;
783;272;0.6779914;0.4580315;0.7568293;0.4671633;497.8;0.2358766;False;14/04/2026 3:34:05 PM:28;1776144845028;;
786;268;0.6807609;0.4528015;0.7453743;0.3618982;498.0;0.2360178;False;14/04/2026 3:34:05 PM:54;1776144845054;;
788;265;0.6819217;0.4468234;0.7366391;0.329089;498.2;0.2356275;False;14/04/2026 3:34:05 PM:73;1776144845073;;
790;265;0.68376;0.4467651;0.7490141;0.4320981;498.3;0.2370679;False;14/04/2026 3:34:05 PM:92;1776144845092;;
792;265;0.685707;0.4468558;0.7494597;0.4579104;501.7;0.2339516;False;14/04/2026 3:34:05 PM:115;1776144845115;;
794;265;0.6872348;0.4469282;0.7494679;0.457902;504.8;0.2340288;False;14/04/2026 3:34:05 PM:135;1776144845135;;
796;265;0.6888403;0.4477556;0.7536364;0.490184;507.5;0.2342713;False;14/04/2026 3:34:05 PM:157;1776144845157;;
799;265;0.6919526;0.4474426;0.7717371;0.4224116;505.9;0.240351;False;14/04/2026 3:34:05 PM:178;1776144845178;;
803;265;0.6949981;0.4474826;0.7796406;0.4570152;504.4;0.2408199;False;14/04/2026 3:34:05 PM:197;1776144845197;;
806;265;0.6977957;0.4475203;0.7796693;0.456984;503.0;0.2410952;False;14/04/2026 3:34:05 PM:217;1776144845217;;
808;265;0.6997105;0.4472155;0.7717519;0.4223954;501.8;0.2404915;False;14/04/2026 3:34:05 PM:239;1776144845239;;
809;262;0.700006;0.4424829;0.7366743;0.3404423;503.5;0.2340958;False;14/04/2026 3:34:05 PM:260;1776144845260;;
809;262;0.7004384;0.4415282;0.75455;0.3893793;504.9;0.2347797;False;14/04/2026 3:34:05 PM:280;1776144845280;;
810;259;0.7007664;0.4372737;0.7366666;0.3404597;506.2;0.2340391;False;14/04/2026 3:34:05 PM:305;1776144845305;;
810;259;0.701155;0.4372235;0.7300631;0.4284929;506.3;0.2428955;False;14/04/2026 3:34:05 PM:327;1776144845327;;
810;259;0.7014936;0.4371793;0.7300804;0.4284744;506.3;0.2430632;False;14/04/2026 3:34:05 PM:351;1776144845351;;
811;259;0.7019594;0.4374398;0.752171;0.4545128;506.4;0.2434481;False;14/04/2026 3:34:05 PM:372;1776144845372;;
807;260;0.6981245;0.4379746;0.651567;0.4652508;508.0;0.2324113;False;14/04/2026 3:34:05 PM:394;1776144845394;;
803;260;0.6953849;0.4383742;0.6516222;0.4651977;509.4;0.2329011;False;14/04/2026 3:34:05 PM:413;1776144845413;;
802;260;0.6940663;0.4390139;0.6679494;0.4725348;510.7;0.2336706;False;14/04/2026 3:34:05 PM:437;1776144845437;;
796;260;0.6890892;0.438841;0.6249972;0.4185399;511.5;0.2267593;False;14/04/2026 3:34:05 PM:458;1776144845458;;
793;260;0.6866087;0.4392536;0.6392131;0.469027;512.1;0.2279772;False;14/04/2026 3:34:05 PM:477;1776144845477;;
791;261;0.6848189;0.4394173;0.645256;0.4583453;512.7;0.227557;False;14/04/2026 3:34:05 PM:499;1776144845499;;
791;261;0.684405;0.4396545;0.6657531;0.4635983;513.2;0.235866;False;14/04/2026 3:34:05 PM:520;1776144845520;;
790;261;0.6837997;0.4408303;0.6587656;0.4954749;513.6;0.2367443;False;14/04/2026 3:34:05 PM:540;1776144845540;;
790;262;0.6834761;0.4411351;0.6654301;0.4712713;514.0;0.236294;False;14/04/2026 3:34:05 PM:563;1776144845563;;
790;262;0.6834703;0.4411869;0.6805955;0.4587114;514.0;0.2294538;False;14/04/2026 3:34:05 PM:584;1776144845584;;
790;262;0.683466;0.441227;0.6806618;0.4586477;514.0;0.2300637;False;14/04/2026 3:34:05 PM:602;1776144845602;;
790;262;0.68349;0.441258;0.6882535;0.457779;514.0;0.2304775;False;14/04/2026 3:34:05 PM:623;1776144845623;;
790;262;0.6834821;0.4412635;0.680342;0.453507;514.8;0.2296744;False;14/04/2026 3:34:05 PM:646;1776144845646;;
790;262;0.6834732;0.4413242;0.6800066;0.4605631;515.6;0.230252;False;14/04/2026 3:34:05 PM:669;1776144845669;;
790;262;0.6834673;0.4413334;0.6803465;0.4535016;516.3;0.2297122;False;14/04/2026 3:34:05 PM:691;1776144845691;;
785;262;0.6797034;0.4413432;0.6178795;0.4533459;519.5;0.2199345;False;14/04/2026 3:34:05 PM:714;1776144845714;;
782;262;0.6769181;0.4413511;0.6179127;0.4533373;522.3;0.2199893;False;14/04/2026 3:34:05 PM:735;1776144845735;;
779;262;0.6747028;0.441358;0.6181228;0.4532823;524.9;0.2203345;False;14/04/2026 3:34:05 PM:754;1776144845754;;
777;262;0.6726103;0.441365;0.618167;0.4532706;527.2;0.2204078;False;14/04/2026 3:34:05 PM:777;1776144845777;;
773;256;0.6692304;0.4323684;0.6019345;0.304722;524.1;0.2209295;False;14/04/2026 3:34:05 PM:799;1776144845799;;
766;254;0.6634945;0.4287271;0.5730396;0.3394487;521.4;0.221971;False;14/04/2026 3:34:05 PM:820;1776144845820;;
761;252;0.6586603;0.4256082;0.5729534;0.3394932;519.0;0.2218376;False;14/04/2026 3:34:05 PM:840;1776144845840;;
758;251;0.6560013;0.4240297;0.5902736;0.3621361;518.4;0.2219632;False;14/04/2026 3:34:05 PM:864;1776144845864;;
755;251;0.6538315;0.4227105;0.5904834;0.3620652;518.0;0.2222411;False;14/04/2026 3:34:05 PM:887;1776144845887;;
753;250;0.6521514;0.4216919;0.5902673;0.3621381;517.5;0.2219553;False;14/04/2026 3:34:05 PM:907;1776144845907;;
753;251;0.6519753;0.422656;0.6141217;0.4579984;514.7;0.2228991;False;14/04/2026 3:34:05 PM:930;1776144845930;;
753;251;0.651827;0.4234572;0.6141671;0.4579802;512.2;0.222952;False;14/04/2026 3:34:05 PM:950;1776144845950;;
753;251;0.6516986;0.4241306;0.6141242;0.4579973;509.9;0.2229023;False;14/04/2026 3:34:05 PM:971;1776144845971;;
753;253;0.6515782;0.4265365;0.6143046;0.4931138;509.0;0.2274348;False;14/04/2026 3:34:05 PM:993;1776144845993;;
753;254;0.651486;0.4283176;0.6142923;0.4931294;508.1;0.2273392;False;14/04/2026 3:34:06 PM:13;1776144846013;;
752;255;0.6512669;0.4306494;0.6286117;0.5063419;507.4;0.2275515;False;14/04/2026 3:34:06 PM:32;1776144846032;;
752;256;0.6510214;0.4324849;0.634116;0.4997935;505.6;0.2128663;False;14/04/2026 3:34:06 PM:56;1776144846056;;
749;258;0.6484291;0.4355771;0.5759578;0.5287509;504.0;0.2129425;False;14/04/2026 3:34:06 PM:75;1776144846075;;
746;260;0.646068;0.4384007;0.5759612;0.5287491;502.6;0.2129473;False;14/04/2026 3:34:06 PM:97;1776144846097;;
746;261;0.6459543;0.4401421;0.6147348;0.516649;501.2;0.2128804;False;14/04/2026 3:34:06 PM:118;1776144846118;;
746;261;0.6457383;0.4403806;0.6356931;0.4839869;503.5;0.2128752;False;14/04/2026 3:34:06 PM:140;1776144846140;;
746;261;0.6455423;0.4405055;0.6355276;0.4602739;505.6;0.2130423;False;14/04/2026 3:34:06 PM:163;1776144846163;;
746;261;0.6453881;0.4406049;0.6355141;0.4602944;507.4;0.2129388;False;14/04/2026 3:34:06 PM:183;1776144846183;;
732;261;0.6333973;0.4408226;0.5068902;0.482322;507.3;0.2157796;False;14/04/2026 3:34:06 PM:204;1776144846204;;
721;261;0.6238028;0.4410103;0.5069212;0.4822966;507.3;0.2158286;False;14/04/2026 3:34:06 PM:224;1776144846224;;
712;262;0.6163358;0.4411664;0.5069094;0.4823061;507.3;0.2158104;False;14/04/2026 3:34:06 PM:244;1776144846244;;
707;262;0.6117067;0.4412821;0.5253606;0.4625053;506.0;0.2164676;False;14/04/2026 3:34:06 PM:266;1776144846266;;
707;262;0.6115938;0.4423906;0.6074573;0.5081053;504.8;0.216335;False;14/04/2026 3:34:06 PM:289;1776144846289;;
706;263;0.6114043;0.4428494;0.5905872;0.4942491;504.6;0.2091975;False;14/04/2026 3:34:06 PM:315;1776144846315;;
706;263;0.6112683;0.4431773;0.5906267;0.4942333;504.4;0.2092457;False;14/04/2026 3:34:06 PM:334;1776144846334;;
706;263;0.6107761;0.4432846;0.5687078;0.4720497;504.3;0.2093704;False;14/04/2026 3:34:06 PM:354;1776144846354;;
702;264;0.6079441;0.4456963;0.5381134;0.5363265;502.6;0.216441;False;14/04/2026 3:34:06 PM:377;1776144846377;;
700;265;0.6058505;0.4474983;0.5381136;0.5363274;501.1;0.2164413;False;14/04/2026 3:34:06 PM:396;1776144846396;;
699;266;0.6050543;0.4488811;0.5530314;0.5330623;499.7;0.216438;False;14/04/2026 3:34:06 PM:416;1776144846416;;
698;267;0.6042877;0.4502138;0.5530478;0.533083;498.5;0.2164396;False;14/04/2026 3:34:06 PM:437;1776144846437;;
693;267;0.6000009;0.4509151;0.51359;0.522182;497.6;0.212729;False;14/04/2026 3:34:06 PM:460;1776144846460;;
689;268;0.5963622;0.4513413;0.5132729;0.5174635;496.8;0.2127911;False;14/04/2026 3:34:06 PM:483;1776144846483;;
685;268;0.5932931;0.4519001;0.5135912;0.5221808;496.1;0.2127317;False;14/04/2026 3:34:06 PM:505;1776144846505;;
685;268;0.5928366;0.4520285;0.5697784;0.4569257;493.7;0.2192513;False;14/04/2026 3:34:06 PM:531;1776144846531;;
685;268;0.5928841;0.4521659;0.5942909;0.5064983;491.6;0.219271;False;14/04/2026 3:34:06 PM:551;1776144846551;;
685;268;0.5929249;0.4522862;0.5942977;0.5064574;489.6;0.2192921;False;14/04/2026 3:34:06 PM:571;1776144846571;;
685;269;0.5927753;0.4533117;0.556893;0.531106;490.1;0.2152859;False;14/04/2026 3:34:06 PM:592;1776144846592;;
684;270;0.5921811;0.4547033;0.5451281;0.5436915;490.5;0.2154147;False;14/04/2026 3:34:06 PM:612;1776144846612;;
683;270;0.5916427;0.4559601;0.5451207;0.5436965;490.9;0.2154014;False;14/04/2026 3:34:06 PM:632;1776144846632;;
679;271;0.5877472;0.4563557;0.5065832;0.4856025;491.1;0.2066441;False;14/04/2026 3:34:06 PM:655;1776144846655;;
676;271;0.5848888;0.456654;0.5066032;0.4855791;491.3;0.2066896;False;14/04/2026 3:34:06 PM:676;1776144846676;;
672;271;0.581329;0.4572046;0.499132;0.5241808;491.5;0.2068079;False;14/04/2026 3:34:06 PM:699;1776144846699;;
649;271;0.5617803;0.4573836;0.4036996;0.5006686;492.2;0.1972579;False;14/04/2026 3:34:06 PM:721;1776144846721;;
639;271;0.5531631;0.4578883;0.4322658;0.5262322;492.8;0.197256;False;14/04/2026 3:34:06 PM:740;1776144846740;;
630;272;0.5452554;0.4583818;0.4322668;0.5262449;493.4;0.1972563;False;14/04/2026 3:34:06 PM:762;1776144846762;;
621;272;0.5376256;0.4586281;0.4245451;0.4980402;493.9;0.2061605;False;14/04/2026 3:34:06 PM:783;1776144846783;;
614;272;0.5312744;0.4587657;0.4202462;0.5027975;494.4;0.2062491;False;14/04/2026 3:34:06 PM:802;1776144846802;;
607;272;0.5251237;0.4589067;0.4202372;0.5028116;494.9;0.2062354;False;14/04/2026 3:34:06 PM:824;1776144846824;;
637;272;0.5514664;0.4581194;0.6881899;0.4354564;496.8;0.2118952;False;14/04/2026 3:34:06 PM:847;1776144846847;;
665;271;0.5752668;0.457496;0.7126985;0.4350222;498.5;0.2118999;False;14/04/2026 3:34:06 PM:867;1776144846867;;
687;271;0.595006;0.4569085;0.7127019;0.4350421;500.0;0.2118981;False;14/04/2026 3:34:06 PM:891;1776144846891;;
706;271;0.611246;0.4563611;0.712701;0.4350359;501.4;0.2118986;False;14/04/2026 3:34:06 PM:916;1776144846916;;
717;271;0.620326;0.4564131;0.6978974;0.4711122;499.8;0.2180623;False;14/04/2026 3:34:06 PM:939;1776144846939;;
726;270;0.6287786;0.4562081;0.7090778;0.4430789;498.4;0.2180072;False;14/04/2026 3:34:06 PM:962;1776144846962;;
734;270;0.6350161;0.4560458;0.7090778;0.4430794;497.1;0.2180075;False;14/04/2026 3:34:06 PM:982;1776144846982;;
746;271;0.645605;0.4564098;0.7365336;0.4907745;495.9;0.2148376;False;14/04/2026 3:34:07 PM:5;1776144847005;;
755;271;0.6533687;0.4567;0.7365375;0.490786;494.8;0.214854;False;14/04/2026 3:34:07 PM:28;1776144847028;;
772;271;0.6680492;0.4566138;0.7794822;0.4498189;495.0;0.2185964;False;14/04/2026 3:34:07 PM:52;1776144847052;;
783;271;0.6774753;0.4565538;0.779479;0.449829;495.2;0.2185711;False;14/04/2026 3:34:07 PM:72;1776144847072;;
793;271;0.6860253;0.4565693;0.7813681;0.4606717;495.4;0.2187231;False;14/04/2026 3:34:07 PM:93;1776144847093;;
802;267;0.6945873;0.4502059;0.789809;0.3404925;494.9;0.2283645;False;14/04/2026 3:34:07 PM:115;1776144847115;;
814;266;0.7043167;0.4493901;0.8138936;0.4060288;494.5;0.2286138;False;14/04/2026 3:34:07 PM:134;1776144847134;;
824;266;0.7130269;0.4486094;0.8139011;0.4059991;494.1;0.2286486;False;14/04/2026 3:34:07 PM:156;1776144847156;;
826;265;0.7149361;0.44733;0.7681351;0.390017;494.7;0.2213963;False;14/04/2026 3:34:07 PM:176;1776144847176;;
