X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
350;1412;0.1949917;0.7847576;0.1949917;0.7847576;281.9;0.2819101;False;2/04/2026 12:37:02 PM:282;1775093822282;;
536;1200;0.2982588;0.6667853;0.4575495;0.4993655;279.2;0.4107269;False;2/04/2026 12:37:02 PM:326;1775093822326;;
550;715;0.3060325;0.3972796;0.3573025;0.09809362;278.0;0.3805021;False;2/04/2026 12:37:02 PM:349;1775093822349;;
563;518;0.3128718;0.2878494;0.3770051;0.0834852;277.7;0.3708368;False;2/04/2026 12:37:02 PM:363;1775093822363;;
586;509;0.3258843;0.2829181;0.4258055;0.2656135;277.3;0.3708367;False;2/04/2026 12:37:02 PM:377;1775093822377;;
606;502;0.336708;0.2792864;0.4258007;0.2656251;277.1;0.3708365;False;2/04/2026 12:37:02 PM:390;1775093822390;;
615;466;0.3417484;0.2589346;0.3960964;0.196952;277.0;0.3573665;False;2/04/2026 12:37:02 PM:404;1775093822404;;
638;347;0.3548988;0.1933163;0.4614126;0.02509872;276.9;0.3573666;False;2/04/2026 12:37:02 PM:416;1775093822416;;
660;379;0.3671289;0.2106667;0.4572105;0.3226345;276.2;0.3647138;False;2/04/2026 12:37:02 PM:431;1775093822431;;
677;376;0.3764607;0.2092012;0.4602639;0.2026991;275.6;0.3647138;False;2/04/2026 12:37:02 PM:444;1775093822444;;
674;387;0.3748437;0.2151032;0.3107009;0.474571;274.4;0.3558966;False;2/04/2026 12:37:02 PM:458;1775093822458;;
672;408;0.3735928;0.22671;0.3110014;0.5042412;273.4;0.3558964;False;2/04/2026 12:37:02 PM:470;1775093822470;;
669;414;0.3722105;0.2304533;0.3074951;0.4746031;272.5;0.3558965;False;2/04/2026 12:37:02 PM:482;1775093822482;;
669;463;0.3718464;0.2572748;0.3501254;0.5529905;271.4;0.3521749;False;2/04/2026 12:37:02 PM:496;1775093822496;;
668;500;0.3715478;0.2779508;0.3501403;0.5527821;270.4;0.3521748;False;2/04/2026 12:37:02 PM:509;1775093822509;;
618;604;0.3438642;0.3356272;0.168491;0.6594281;269.5;0.3592219;False;2/04/2026 12:37:02 PM:524;1775093822524;;
588;702;0.3269687;0.3903727;0.1770608;0.7077448;268.8;0.3592218;False;2/04/2026 12:37:02 PM:536;1775093822536;;
562;782;0.3125736;0.4347541;0.1770625;0.7077396;268.1;0.3592218;False;2/04/2026 12:37:02 PM:548;1775093822548;;
535;881;0.2973911;0.4899689;0.1693581;0.752113;267.7;0.3540178;False;2/04/2026 12:37:02 PM:561;1775093822561;;
514;946;0.2856499;0.5259464;0.1653275;0.7462912;267.2;0.3540179;False;2/04/2026 12:37:02 PM:573;1775093822573;;
493;992;0.2742841;0.5515798;0.1581183;0.7313937;266.9;0.3540181;False;2/04/2026 12:37:02 PM:585;1775093822585;;
477;1028;0.2651449;0.5714762;0.1581184;0.7313945;266.5;0.3540181;False;2/04/2026 12:37:02 PM:596;1775093822596;;
453;1043;0.2520238;0.5796668;0.1357336;0.6740113;266.3;0.3622625;False;2/04/2026 12:37:02 PM:609;1775093822609;;
435;1057;0.2421726;0.5873126;0.1377794;0.6823328;266.0;0.3622626;False;2/04/2026 12:37:02 PM:621;1775093822621;;
428;1094;0.2379312;0.6082596;0.1729135;0.7541044;265.7;0.3694243;False;2/04/2026 12:37:02 PM:634;1775093822634;;
420;1113;0.2335608;0.6188079;0.1600969;0.7310441;265.5;0.3694241;False;2/04/2026 12:37:02 PM:645;1775093822645;;
413;1131;0.2294572;0.6284009;0.1600968;0.731043;265.2;0.3694244;False;2/04/2026 12:37:02 PM:657;1775093822657;;
405;1149;0.2250009;0.6383634;0.1569817;0.7352279;264.0;0.3698353;False;2/04/2026 12:37:02 PM:670;1775093822670;;
395;1153;0.2199683;0.6407741;0.1394038;0.6919441;262.8;0.3698354;False;2/04/2026 12:37:02 PM:681;1775093822681;;
384;1153;0.2134374;0.6408259;0.1245526;0.645406;261.8;0.3698352;False;2/04/2026 12:37:02 PM:692;1775093822692;;
381;1175;0.2117638;0.6530424;0.1686859;0.762539;262.0;0.3294728;False;2/04/2026 12:37:02 PM:705;1775093822705;;
378;1192;0.2100949;0.6624728;0.164159;0.7625561;262.2;0.3294729;False;2/04/2026 12:37:02 PM:717;1775093822717;;
374;1193;0.2082013;0.6628884;0.162472;0.678603;262.1;0.363339;False;2/04/2026 12:37:02 PM:731;1775093822731;;
372;1194;0.2070377;0.6636856;0.1658656;0.6911916;262.0;0.3633391;False;2/04/2026 12:37:02 PM:742;1775093822742;;
370;1196;0.2059125;0.6644555;0.1658629;0.6911833;261.9;0.3633391;False;2/04/2026 12:37:02 PM:754;1775093822754;;
368;1196;0.2047706;0.6649693;0.1657266;0.6855748;262.2;0.346737;False;2/04/2026 12:37:02 PM:768;1775093822768;;
365;1196;0.2032029;0.664888;0.1541256;0.6515076;262.5;0.3467373;False;2/04/2026 12:37:02 PM:779;1775093822779;;
365;1205;0.2028724;0.6696945;0.1786602;0.7370872;262.0;0.354182;False;2/04/2026 12:37:02 PM:793;1775093822793;;
364;1211;0.2026285;0.6730828;0.1786423;0.737039;261.5;0.3541819;False;2/04/2026 12:37:02 PM:804;1775093822804;;
364;1214;0.2023481;0.6749411;0.1767557;0.7225317;261.1;0.354182;False;2/04/2026 12:37:02 PM:815;1775093822815;;
360;1210;0.2000225;0.6727103;0.1436623;0.6227146;260.5;0.3581691;False;2/04/2026 12:37:02 PM:828;1775093822828;;
356;1207;0.1982725;0.6710229;0.1435757;0.6224394;259.9;0.3581692;False;2/04/2026 12:37:02 PM:840;1775093822840;;
353;1204;0.1965127;0.6693316;0.1435806;0.6224549;259.4;0.3581691;False;2/04/2026 12:37:02 PM:852;1775093822852;;
335;1018;0.1865478;0.5659501;0.07572304;0.2630018;259.1;0.3534122;False;2/04/2026 12:37:02 PM:865;1775093822865;;
320;946;0.1778076;0.5258285;0.06698631;0.3408595;258.9;0.3534122;False;2/04/2026 12:37:02 PM:876;1775093822876;;
306;898;0.1700346;0.4990133;0.07479323;0.3738239;259.2;0.3372944;False;2/04/2026 12:37:02 PM:890;1775093822890;;
297;881;0.1655364;0.4896163;0.08359336;0.4170224;259.5;0.3372945;False;2/04/2026 12:37:02 PM:901;1775093822901;;
290;866;0.1613516;0.4814331;0.08357283;0.4169417;259.8;0.3372946;False;2/04/2026 12:37:02 PM:912;1775093822912;;
283;854;0.1576715;0.4746798;0.08359386;0.4170244;260.1;0.3372945;False;2/04/2026 12:37:02 PM:924;1775093822924;;
275;828;0.1528989;0.4603761;0.07537779;0.3741573;260.3;0.3295486;False;2/04/2026 12:37:02 PM:937;1775093822937;;
271;827;0.1510121;0.4597673;0.09353279;0.4508985;260.6;0.3295487;False;2/04/2026 12:37:02 PM:948;1775093822948;;
268;826;0.1491347;0.4591785;0.09351613;0.4508387;260.8;0.3295488;False;2/04/2026 12:37:02 PM:959;1775093822959;;
268;894;0.1491291;0.4971504;0.1487088;0.7250365;260.8;0.3424492;False;2/04/2026 12:37:02 PM:973;1775093822973;;
