X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
716;404;0.3733341;0.3746442;0.3733341;0.3746442;528.6;0.2084029;False;14/04/2026 5:43:56 PM:89;1776152636089;;
782;432;0.4076796;0.4008889;0.4270137;0.4244385;557.6;0.1627863;False;14/04/2026 5:43:57 PM:62;1776152637062;;
783;433;0.4081633;0.4011856;0.4270162;0.424441;557.2;0.1627757;False;14/04/2026 5:43:57 PM:77;1776152637077;;
783;433;0.4080759;0.4011552;0.3968032;0.3955179;554.1;0.1950796;False;14/04/2026 5:43:57 PM:93;1776152637093;;
783;433;0.4080124;0.401133;0.3967667;0.3954833;551.3;0.1952523;False;14/04/2026 5:43:57 PM:106;1776152637106;;
783;433;0.4079492;0.4011109;0.3967222;0.3954412;548.7;0.195464;False;14/04/2026 5:43:57 PM:121;1776152637121;;
783;433;0.4078889;0.4010897;0.3967513;0.3954687;546.4;0.1953254;False;14/04/2026 5:43:57 PM:136;1776152637136;;
788;435;0.4108433;0.4027998;0.4571057;0.4534581;545.8;0.1866248;False;14/04/2026 5:43:57 PM:152;1776152637152;;
792;436;0.412901;0.4040166;0.4570999;0.4534528;545.3;0.1866617;False;14/04/2026 5:43:57 PM:165;1776152637165;;
796;437;0.4147854;0.405154;0.4570944;0.4534477;544.8;0.1866965;False;14/04/2026 5:43:57 PM:179;1776152637179;;
799;438;0.4164704;0.4061907;0.4570961;0.4534493;544.4;0.1866859;False;14/04/2026 5:43:57 PM:193;1776152637193;;
802;439;0.4180411;0.407175;0.4570971;0.4534501;544.0;0.18668;False;14/04/2026 5:43:57 PM:208;1776152637208;;
802;439;0.4182057;0.4073071;0.4318053;0.4291151;542.8;0.1815947;False;14/04/2026 5:43:57 PM:223;1776152637223;;
803;440;0.4183422;0.4074174;0.4318054;0.4291155;541.8;0.1816082;False;14/04/2026 5:43:57 PM:238;1776152637238;;
803;440;0.4184572;0.4075108;0.4318055;0.4291156;540.8;0.1816101;False;14/04/2026 5:43:57 PM:252;1776152637252;;
804;440;0.4188975;0.4078253;0.4411701;0.4381727;540.0;0.1816187;False;14/04/2026 5:43:57 PM:269;1776152637269;;
